REJECTED | reason=characters changed: [አንበሳውስጋስላየአጉረመረመ] → [አንበሳውስጋስላጠአጉረመረመ] | original=[አንበሳው ስጋ ስላ የ አጉረመረ መ] | corrected=[አንበሳው ስጋ ስላጠ አጉረመረመ]
REJECTED | reason=characters changed: [ዛሬየበላናትቀይወጥሁርጥያለችናት] → [ዛሬየበላናትቀይወጥሁርጥያለቻት] | original=[ዛሬ የ በላ ና ት ቀይ ወጥ ሁ ርጥ ያለች ና ት] | corrected=[ዛሬ የበላናት ቀይ ወጥ ሁርጥ ያለቻት]
REJECTED | reason=characters changed: [ሚስትአግብተውሶስትልጆችበትነውየጠፉትቄስፊሊጶስደብርተገኙ] → [ሚስትአግብተውሶስትልጆችብትነውየጠፉትቄስፊሊጶስደብርተገኙ] | original=[ሚስት አ ግብተው ሶስት ልጆች በት ነው የ ጠፉት ቄስ ፊሊ ጶ ስ ደብር ተገኙ] | corrected=[ሚስት አግብተው ሶስት ልጆች ብት ነው የጠፉት ቄስ ፊሊጶስ ደብር ተገኙ]
REJECTED | reason=characters changed: [ጣፋጬንበጐምዛዛለውጬምንእንደማደርገውግራገብቶኛል] → [ጣፋጬንበጐምዛዛለውጬምምንእንደማደርገውግራገብቶኛል] | original=[ጣፋጬን በጐ ም ዛዛ ለ ው ጬ ም ን እንደማ ደርገው ግራ ገብቶ ኛል] | corrected=[ጣፋጬን በጐምዛዛ ለውጬም ምን እንደማደርገው ግራ ገብቶኛል]
REJECTED | reason=characters changed: [ሚስትአግብተውሶስትልጆችበትነውየጠፉትቄስፊሊጶስደብርተገኙ] → [ሚስትአግብተውሶስትልጆችብትነውየጠፉትቄስፊሊጶስደብርተገኙ] | original=[ሚስት አ ግብተው ሶስት ልጆች በት ነው የ ጠፉት ቄስ ፊሊ ጶ ስ ደብር ተገኙ] | corrected=[ሚስት አግብተው ሶስት ልጆች ብት ነው የጠፉት ቄስ ፊሊጶስ ደብር ተገኙ]
REJECTED | reason=characters changed: [ዛሬየበላናትቀይወጥሁርጥያለችናት] → [ዛሬየበላትቀይወጥሁርጥያለቻት] | original=[ዛሬ የ በላ ና ት ቀይ ወጥ ሁ ርጥ ያለች ና ት] | corrected=[ዛሬ የበላት ቀይ ወጥ ሁርጥ ያለቻት]
REJECTED | reason=characters changed: [የጦርነቱንእሳትአያያዡመንሆንናነውአሁንእራሳቸውንየሰላምመላክለማስመሰልየሚሯሯጡት] → [የጦርነቱንእሳትአያያዡመንሆናነውአሁንእራሳቸውንየሰላምመላክለማስመሰልየሚሯሯጡት] | original=[የ ጦርነቱ ን እሳት አያ ያዡ መ ን ሆን ና ነው አሁን እራሳቸው ን የ ሰላም መላክ ለ ማስመሰል የሚ ሯሯጡ ት] | corrected=[የጦርነቱን እሳት አያያዡ መን ሆና ነው አሁን እራሳቸውን የሰላም መላክ ለማስመሰል የሚሯሯጡት]
REJECTED | reason=characters changed: [አውገዡከቁጥርየበዛመሆኑንቢያውቅምተጓዡልቤዛሬምወደሷውሄዷል] → [አውገዡከቁጥርየበዛመሆኑንቢያውቅምተጓዡልቤዛሬምወደሷሄዷል] | original=[አ ው ገዡ ከ ቁጥር የ በዛ መሆኑን ቢያውቅ ም ተጓዡ ልቤ ዛሬ ም ወደ ሷ ው ሄ ዷል] | corrected=[አውገዡ ከቁጥር የበዛ መሆኑን ቢያውቅም ተጓዡ ልቤ ዛሬም ወደሷ ሄዷል]
REJECTED | reason=characters changed: [መንግስትአውጇልያልከኝንሁሉአልሰማሁትምነበርእኮ] → [መንግስትአውጇልያልኝንሁሉአልሰማሁትምነበርእኮ] | original=[መንግስት አውጇል ያል ከ ኝ ን ሁሉ አልሰማ ሁትም ነበር እ ኮ] | corrected=[መንግስት አውጇል ያልኝን ሁሉ አልሰማሁትም ነበር እኮ]
REJECTED | reason=characters changed: [ዛሬየቤኒሻንጉልህዝብቢያውቅምባያውቅምምንሊክእንዲህተሟግተውለትነበር] → [ዛሬየቤኒሻንጉልህዝብቢያውቅምባያውቅምምንሊክእንዲህተሟግቶውለትነበር] | original=[ዛሬ የ ቤኒሻንጉል ህዝብ ቢያውቅ ም ባ ያውቅ ም ምንሊክ እንዲ ህ ተሟግተ ው ለት ነበር] | corrected=[ዛሬ የቤኒሻንጉል ህዝብ ቢያውቅም ባያውቅም ምንሊክ እንዲህ ተሟግቶ ውለት ነበር]
REJECTED | reason=characters changed: [ከዚህበኋላየኤርትራወታደሮችኢትዮጵያንንእየያዙበተለያዩእስርቤቶችአጉረዋል] → [ከዚህበኋላየኤርትራወታደሮችኢትዮጵያንእየያዙበተለያዩእስርቤቶችአጉረዋል] | original=[ከዚህ በኋላ የኤርትራ ወታደሮች ኢትዮጵያ ን ን እየ ያዙ በ ተለያዩ እስር ቤቶች አጉ ረዋል] | corrected=[ከዚህ በኋላ የኤርትራ ወታደሮች ኢትዮጵያን እየያዙ በተለያዩ እስር ቤቶች አጉረዋል]
REJECTED | reason=characters changed: [አንበሳውስጋስላየአጉረመረመ] → [አንበሳውስጋስላይአጉረመረመ] | original=[አንበሳው ስጋ ስላ የ አጉረመረ መ] | corrected=[አንበሳው ስጋ ስላይ አጉረመረመ]
REJECTED | reason=characters changed: [ዛሬየበላናትቀይወጥሁርጥያለችናት] → [ዛሬየበላናትቀይወጥሁርጥያለቻት] | original=[ዛሬ የ በላ ና ት ቀይ ወጥ ሁ ርጥ ያለች ና ት] | corrected=[ዛሬ የበላናት ቀይ ወጥ ሁርጥ ያለቻት]
REJECTED | reason=characters changed: [ፓትርያርኩንምእንዳትቃወሟቸውበማለትማስጠንቀቂያናዛቻአዘልትምህርትመስጠታቸውነው] → [ፓትርያርኩንምእንዴትተቃወሟቸውበማለትማስጠንቀቂያናዛቻአዘልትምህርትመስጠታቸውነው] | original=[ፓትርያርኩ ንም እንዳት ቃወ ሟቸው በ ማለት ማስጠንቀቂያ ና ዛቻ አዘል ትምህርት መስጠታቸው ነው] | corrected=[ፓትርያርኩንም እንዴት ተቃወሟቸው በማለት ማስጠንቀቂያ ናዛቻ አዘል ትምህርት መስጠታቸው ነው]
REJECTED | reason=characters changed: [ኮምፒውተሩበሚገባአስቦአገግሎትእንዲሰጥማስቻልየእኛተግባርነው] → [ኮምፒውተሩበሚገባአስቦአገልግሎትእንዲሰጥማስቻልየእኛተግባርነው] | original=[ኮምፒውተሩ በሚገባ አስቦ አገ ግሎት እንዲሰጥ ማስቻል የ እኛ ተግባር ነው] | corrected=[ኮምፒውተሩ በሚገባ አስቦ አገልግሎት እንዲሰጥ ማስቻል የእኛ ተግባር ነው]
REJECTED | reason=characters changed: [ኮምፒተርምንማለትነውሶፍትዌርሲባልስ] → [ኮምፒተርምምንማለትነውሶፍትዌርሲባልስ] | original=[ኮምፒ ተር ም ን ማለት ነው ሶፍትዌር ሲ ባል ስ] | corrected=[ኮምፒተርም ምን ማለት ነው ሶፍትዌር ሲባል ስ]
REJECTED | reason=characters changed: [ተቃዋሚዎችነንየሚሉትየመረጡትግንስምማጥፋትንናበየኤምባሲውመኮልኮልንነው] → [ተቃዋሚዎችነንየሚሉትየመረጡትግንስምማጥፋትናበየኤምባሲውመኮልኮልንነው] | original=[ተቃዋሚዎች ነን የሚሉት የ መረጡት ግን ስ ም ማጥፋት ንና በ የ ኤምባሲው መኮልኮል ን ነው] | corrected=[ተቃዋሚዎች ነን የሚሉት የመረጡት ግን ስምማጥፋትና በየኤምባሲው መኮልኮልን ነው]
REJECTED | reason=characters changed: [ትክክልባለቤትዎናልጆችዎንመጻፍዎእርግጠኛይሁኑ] → [ትክክልባለቤቶናልጆቾንመጻፍዎእርግጠኛይሁኑ] | original=[ትክክል ባለቤት ዎ ና ልጆች ዎን መጻፍዎ እርግጠኛ ይሁኑ] | corrected=[ትክክል ባለቤቶና ልጆቾን መጻፍዎ እርግጠኛ ይሁኑ]
REJECTED | reason=characters changed: [ይሁንናለዘመቻየሚጓዙትበአስርሺየሚቆጠሩትወጣትኦሮሞዎችዘመቻውንበተመለከተደስተኛናፍላጐትእንደሌላቸውእርግጥነው] → [ይሁናለዘመቻየሚጓዙትበአስርሺየሚቆጠሩትወጣትኦሮሞዎችዘመቻውንበተመለከተደስተኛናፍላጐትእንደሌላቸውእርግጥነው] | original=[ይሁን ና ለ ዘመቻ የሚ ጓዙ ት በ አስር ሺ የሚ ቆጠሩት ወጣት ኦሮሞዎች ዘመቻው ን በ ተመለከተ ደስተኛ ና ፍላጐት እንደሌላ ቸው እርግጥ ነው] | corrected=[ይሁና ለዘመቻ የሚጓዙት በአስር ሺ የሚቆጠሩት ወጣት ኦሮሞዎች ዘመቻውን በተመለከተ ደስተኛ ና ፍላጐት እንደሌላቸው እርግጥ ነው]
REJECTED | reason=characters changed: [ቀድሞምእናንተናችሁየሰጣችሁን] → [ቀድሞምእናንተናንችሁየሰጣችሁን] | original=[ቀድሞ ም እናንተ ና ችሁ የ ሰጣችሁ ን] | corrected=[ቀድሞም እናንተናንችሁ የሰጣችሁን]
REJECTED | reason=characters changed: [እስራኤልኦርቶዶክስኢትዮጵያንንሀይማኖትአስቀይራእያጋዛችነው] → [እስራኤልኦርቶዶክስኢትዮጵያንሀይማኖትአስቀይራእያጋዛችነው] | original=[እስራኤል ኦርቶዶክስ ኢትዮጵያ ን ን ሀይማኖት አስ ቀይራ እያ ጋዛ ች ነው] | corrected=[እስራኤል ኦርቶዶክስ ኢትዮጵያን ሀይማኖት አስቀይራ እያጋዛች ነው]
REJECTED | reason=characters changed: [መንግስትበበኩሉምንነገርእንደሚያስብአላወቀም] → [መንግስትበበኩሉምምንነገርእንደሚያስብአላወቀም] | original=[መንግስት በበኩሉ ም ን ነገር እንደሚያ ስብ አላወ ቀም] | corrected=[መንግስት በበኩሉም ምን ነገር እንደሚያስብ አላወቀም]
REJECTED | reason=characters changed: [ኢንተርሚላንሳርኔታናንሁለትለአንድአሸንፏል] → [ኢንተርሚላንሳርኔታንሁለትለአንድአሸንፏል] | original=[ኢንተር ሚላን ሳር ኔታ ና ን ሁለት ለ አንድ አሸን ፏል] | corrected=[ኢንተር ሚላን ሳርኔታን ሁለት ለአንድ አሸንፏል]
REJECTED | reason=characters changed: [ሻለቃውይህንንመልስየሰጡትከኢትዮጵያእንዲባረሩየተደረጉትኤርትራዋያንቡዙዎቹለበርካታአመታትኢትዮጵያውስጥየኖሩናኢትዮጵያውያንምናቸው] → [ሻለቃውይህንንመልስየሰጡትከኢትዮጵያእንዲባረሩየተደረጉትኤርትራዊያንቡዙዎቹለበርካታአመታትኢትዮጵያውስጥየኖሩናኢትዮጵያውያንምናቸው] | original=[ሻለቃው ይህንን መልስ የ ሰጡት ከ ኢትዮጵያ እንዲ ባረሩ የ ተደረጉት ኤርትራ ዋ ያን ቡዙ ዎቹ ለ በርካታ አመታት ኢትዮጵያ ውስጥ የ ኖሩ ና ኢትዮጵያውያ ንም ናቸው] | corrected=[ሻለቃው ይህንን መልስ የሰጡት ከኢትዮጵያ እንዲባረሩ የተደረጉት ኤርትራዊያን ቡዙዎቹ ለበርካታ አመታት ኢትዮጵያ ውስጥ የኖሩ ና ኢትዮጵያውያንም ናቸው]
REJECTED | reason=characters changed: [የሀይማኖትአድባራትናገዳማትምንአይነትደባእንደሚፈጸምባቸውምተነግሮናል] → [የሀይማኖትአድባራትናገዳማትምምንአይነትደባእንደሚፈጸምባቸውምተነግሮናል] | original=[የ ሀይማኖት አድባራት ና ገዳማት ም ን አይነት ደባ እንደሚ ፈጸም ባቸውም ተነግሮ ናል] | corrected=[የሀይማኖት አድባራት ና ገዳማትም ምን አይነት ደባ እንደሚፈጸምባቸውም ተነግሮናል]
REJECTED | reason=characters changed: [አራትኪሎናፒያሳየሚገኙንግድቤቶችከአስርሰአትጀምሮሱቃችውንዘግተዋል] → [አራትኪሎናፒያሳየሚገኙንግድቤቶችከአስርሰአትጀምሮሱቃቸውንዘግተዋል] | original=[አራት ኪሎ ና ፒያሳ የሚገኙ ንግድ ቤቶች ከ አስር ሰአት ጀምሮ ሱቃ ችውን ዘግ ተዋል] | corrected=[አራት ኪሎ ና ፒያሳ የሚገኙ ንግድ ቤቶች ከአስር ሰአት ጀምሮ ሱቃቸውን ዘግተዋል]
REJECTED | reason=characters changed: [ስለዚህአስተባባሪኮሚቴውምንምአይነትማስተባበያሊሰጥአይገደድምበማለታቸውእንደሆነምታውቋል] → [ስለዚህአስተባባሪኮሚቴውምምንምአይነትማስተባበያሊሰጥአይገደድምበማለታቸውእንደሆነምታውቋል] | original=[ስለዚህ አስተባባሪ ኮሚቴው ም ንም አይነት ማስተባበያ ሊሰጥ አይ ገደድ ም በ ማለታቸው እንደሆነ ም ታውቋል] | corrected=[ስለዚህ አስተባባሪ ኮሚቴውም ምንም አይነት ማስተባበያ ሊሰጥ አይገደድም በማለታቸው እንደሆነም ታውቋል]
REJECTED | reason=characters changed: [በሚቀጥሉትጥቂትሳምንታትሶስትመቶሀምሳኢትዮጵያውያንንወደቦታውበመጓጓዝሌሎችሁለትተጨማሪጣቢያዎችለመገንባትውሳኔተላልፏል] → [በሚቀጥሉትጥቂትሳምንታትሶስትመቶሀምሳኢትዮጵያውያንወደቦታውበመጓጓዝሌሎችሁለትተጨማሪጣቢያዎችለመገንባትውሳኔተላልፏል] | original=[በሚ ቀጥሉ ት ጥቂት ሳምንታት ሶስት መቶ ሀምሳ ኢትዮጵያውያ ን ን ወደ ቦታው በ መጓጓዝ ሌሎች ሁለት ተጨማሪ ጣቢያዎች ለ መገንባት ውሳኔ ተላል ፏል] | corrected=[በሚቀጥሉት ጥቂት ሳምንታት ሶስት መቶ ሀምሳ ኢትዮጵያውያን ወደ ቦታው በመጓጓዝ ሌሎች ሁለት ተጨማሪ ጣቢያዎች ለመገንባት ውሳኔ ተላልፏል]
REJECTED | reason=characters changed: [በሪፍረንደሙስለተሳተፉትዜጐችምብዛትተጠይቀውቁጥሩንእንደማያውቁትገልጸዋል] → [በሪፍረንደሙስለተሳተፉትዜጐችብዛትተጠይቀውቁጥሩንእንደማያውቁገልጸዋል] | original=[በ ሪፍረንደ ሙ ስለ ተሳተፉት ዜጐች ም ብዛት ተ ጠይቀው ቁጥሩ ን እንደማያውቁ ት ገልጸዋል] | corrected=[በሪፍረንደሙ ስለተሳተፉት ዜጐች ብዛት ተጠይቀው ቁጥሩን እንደማያውቁ ገልጸዋል]
REJECTED | reason=characters changed: [ኢትዮፕያለኢትዮኤርትራድንበርኮሚሽንያቀረበችውአቤቱታውድቅሆነ] → [ኢትዮፕያለኢትዮኤርትራድንበርኮሚሽንያቀረበቻውአቤቱታውድቅሆነ] | original=[ኢትዮፕያ ለ ኢትዮ ኤርትራ ድንበር ኮሚሽን ያቀረበች ው አቤቱታ ውድቅ ሆነ] | corrected=[ኢትዮፕያ ለኢትዮ ኤርትራ ድንበር ኮሚሽን ያቀረበቻው አቤቱታ ውድቅ ሆነ]
REJECTED | reason=characters changed: [እኔራሴእንዴትኳስተጫዋችልሆንእንደቻልኩብትጠይቀኝአላውቀውም] → [እኔራሴእንዴትኳስተጫዋችሆንእንደቻልኩብትጠይቀኝአላውቀውም] | original=[እኔ ራሴ እንዴት ኳስ ተጫዋች ል ሆን እንደ ቻልኩ ብ ትጠይቀኝ አላውቀው ም] | corrected=[እኔ ራሴ እንዴት ኳስ ተጫዋች ሆን እንደቻልኩ ብትጠይቀኝ አላውቀውም]
REJECTED | reason=characters changed: [የስታዲየሙድምጽማጉልያዎችስማችንንባስተጋቡቁጥርየአለምሻምፒዮኖቹእንደተባለነው] → [የስታዲየሙድምጽማጉሊያዎችስማችንንባስተጋቡቁጥርየአለምሻምፒዮኖቹእንደተባለነው] | original=[የ ስታዲየሙ ድምጽ ማጉ ልያ ዎች ስማችን ን ባ ስተጋቡ ቁጥር የ አለም ሻምፒዮ ኖቹ እንደ ተ ባለ ነው] | corrected=[የስታዲየሙ ድምጽ ማጉሊያዎች ስማችንን ባስተጋቡ ቁጥር የአለም ሻምፒዮኖቹ እንደተባለ ነው]
REJECTED | reason=characters changed: [ይሄንኑትእዛዝለእስርቤትኮሚቴአስተላለፍኩ] → [ይሄንንትእዛዝለእስርቤትኮሚቴአስተላለፍኩ] | original=[ይሄን ኑ ትእዛዝ ለ እስር ቤት ኮሚቴ አስተላ ለፍኩ] | corrected=[ይሄንን ትእዛዝ ለእስር ቤት ኮሚቴ አስተላለፍኩ]
REJECTED | reason=characters changed: [ሻእቢያዎችናሚድያዎቻቸውሲያስደምጡናሲተርኩየከረሙትየመሪዎቻችንንድክመትነበር] → [ሻእቢያዎችናሚድያዎቻቸውሲያስደምጡናሲተርኩየከረሙትየመሪዎቻቸውንድክመትነበር] | original=[ሻእቢያ ዎችና ሚድያ ዎቻቸው ሲ ያስደምጡ ና ሲ ተርኩ የ ከ ረሙት የ መሪዎቻችን ን ድክመት ነበር] | corrected=[ሻእቢያዎችና ሚድያዎቻቸው ሲያስደምጡ ና ሲተርኩ የከረሙት የመሪዎቻቸውን ድክመት ነበር]
REJECTED | reason=characters changed: [በሂደትይስተካከልላቸዋልእየተባለእስከዛሬደርሰዋል] → [በሂደትይስተካከላቸዋልእየተባለእስከዛሬደርሰዋል] | original=[በ ሂደት ይስተካከል ላቸዋል እየተ ባለ እስከ ዛሬ ደርሰዋል] | corrected=[በሂደት ይስተካከላቸዋል እየተባለ እስከ ዛሬ ደርሰዋል]
REJECTED | reason=characters changed: [የአቶእስክንድርደስታንማስተባበያአጣጥለውታል] → [የአቶእስክንድርደስታንማስተባበያአጣጥለዋል] | original=[የ አቶ እስክንድር ደስታ ን ማስተባበያ አ ጣጥለው ታል] | corrected=[የአቶ እስክንድር ደስታን ማስተባበያ አጣጥለዋል]
REJECTED | reason=characters changed: [እኔምንአውቃለሁየማንንአጽምእንዳወጡአላውቅም] → [እኔምምንአውቃለሁየማንንአጽምእንዳወጡአላውቅም] | original=[እኔ ም ን አውቃለሁ የማን ን አጽም እንዳ ወጡ አላውቅ ም] | corrected=[እኔም ምን አውቃለሁ የማንን አጽም እንዳወጡ አላውቅም]
REJECTED | reason=characters changed: [የአስፈጻሚአካላትንሹመትናሶስትአዋጆችንምበማጽድቅትናንትማምሻውንተጠናቀቀ] → [የአስፈጻሚአካላትንሹመትናሶስትአዋጆችንምበማጽደቅትናንትማምሻውንተጠናቀቀ] | original=[የ አስፈጻሚ አካላት ን ሹመት ና ሶስት አዋጆች ንም በማ ጽድቅ ትናንት ማምሻው ን ተጠናቀቀ] | corrected=[የአስፈጻሚ አካላትን ሹመት ና ሶስት አዋጆችንም በማጽደቅ ትናንት ማምሻውን ተጠናቀቀ]
REJECTED | reason=characters changed: [የሚገርመውበውድድሩቴሌቪዥንጣቢያዎችስለሚጠቀሙየሚሳተፉትንምክለቦችየሚመርጡትቴሌቭዥንጣብያዎችናቸው] → [የሚገርመውበውድድሩቴሌቪዥንጣቢያዎችስለሚጠቀሙየሚሳተፉትንምክለቦችየሚመርጡትቴሌቭዥንጣቢያዎችናቸው] | original=[የሚ ገርመው በ ውድድሩ ቴሌቪዥን ጣቢያዎች ስለሚ ጠቀሙ የሚሳተፉ ትንም ክለቦች የሚመርጡ ት ቴሌቭዥን ጣብያ ዎች ናቸው] | corrected=[የሚገርመው በውድድሩ ቴሌቪዥን ጣቢያዎች ስለሚጠቀሙ የሚሳተፉትንም ክለቦች የሚመርጡት ቴሌቭዥን ጣቢያዎች ናቸው]
REJECTED | reason=characters changed: [በነገውእለትሁለትየአዲስአበባባላንጣዎችደርቢያቸውንያከናውናሉ] → [በነገውእለትሁለትየአዲስአበባባላንጣዎችደርቢያቸውንያካናውናሉ] | original=[በ ነገው እ ለት ሁለት የ አዲስ አበባ ባላንጣ ዎች ደርቢ ያቸውን ያ ከ ና ው ና ሉ] | corrected=[በነገው እለት ሁለት የአዲስ አበባ ባላንጣዎች ደርቢያቸውንያካናውናሉ]
REJECTED | reason=characters changed: [ይህንንበማድረግፈንታተቃዋሚያንምንእንደሚሰሩእንዴትእንደሚኖሩእንዲሰልሉበሚሊዮንየሚቆጠርገንዘብለሰላዮችይከፈላል] → [ይህንንበማድረግፈንታተቃዋሚያንምምንእንደሚሰሩእንዴትእንደሚኖሩእንዲሰልሉበሚሊዮንየሚቆጠርገንዘብለሰላዮችይከፈላል] | original=[ይህንን በማድረግ ፈንታ ተቃዋሚ ያን ም ን እንደሚ ሰሩ እንዴት እንደሚ ኖሩ እንዲ ሰልሉ በ ሚሊዮን የሚ ቆጠር ገንዘብ ለ ሰላዮች ይከፈ ላል] | corrected=[ይህንን በማድረግ ፈንታ ተቃዋሚያንም ምን እንደሚሰሩ እንዴት እንደሚኖሩ እንዲሰልሉ በሚሊዮን የሚቆጠር ገንዘብ ለሰላዮች ይከፈላል]
REJECTED | reason=characters changed: [በኢራንናበኩባመዋእለንዋያቸውንእንዳያፈሱኩባንያዎችላይየበየነችውየዳማቶህግየዚሁህገወጥህግተምሳሌትነው] → [በኢራንናበኩባመዋእለንዋያቸውንእንዳያፈሱኩባንያዎችላይየበየነቻውየዳማቶህግየዚሁህገወጥህግተምሳሌትነው] | original=[በ ኢራን ና በ ኩባ መዋእለ ንዋያቸውን እንዳያ ፈሱ ኩባንያዎች ላይ የ በየነ ችው የ ዳማ ቶ ህግ የ ዚሁ ህገ ወጥ ህግ ተምሳሌ ት ነው] | corrected=[በኢራን ና በኩባ መዋእለ ንዋያቸውን እንዳያፈሱ ኩባንያዎች ላይ የበየነቻው የዳማቶ ህግ የዚሁ ህገወጥ ህግ ተምሳሌት ነው]
REJECTED | reason=characters changed: [ኮሪንቲያንስየተባለውክለብይህንንአልፎነውዘንድሮለሻምፒዮንነትሊበቃየቻለው] → [ኮሪንቲያንስየተባለውክለብይህንንአልፎነውዘንድሮለሻምፒዮነትሊበቃየቻለው] | original=[ኮሪንቲያንስ የ ተባለው ክለብ ይህንን አልፎ ነው ዘንድሮ ለ ሻምፒዮን ነት ሊ በቃ የ ቻለው] | corrected=[ኮሪንቲያንስ የተባለው ክለብ ይህንን አልፎ ነው ዘንድሮ ለሻምፒዮነት ሊበቃ የቻለው]
